================================================================================
CloudFormation DeletionPolicy Audit Report
  ❌ ApiStage                                 AWS::ApiGateway::Stage                             MISSING

cfn/apigateway/infrastructure-methods-stack.yaml
--------------------------------------------------------------------------------
  ❌ DrsSourceServersGetMethod                AWS_PROXY                                          MISSING
  ❌ DrsSourceServersOptionsMethod            MOCK                                               MISSING
  ❌ DrsSourceServerInventoryGetMethod        AWS_PROXY                                          MISSING
  ❌ DrsSourceServerInventoryOptionsMethod    MOCK                                               MISSING
  ❌ DrsQuotasGetMethod                       AWS_PROXY                                          MISSING
  ❌ DrsQuotasOptionsMethod                   MOCK                                               MISSING
  ❌ DrsAccountsGetMethod                     AWS_PROXY                                          MISSING
  ❌ DrsAccountsOptionsMethod                 MOCK                                               MISSING
  ❌ DrsTagSyncPostMethod                     AWS_PROXY                                          MISSING
  ❌ DrsTagSyncGetMethod                      AWS_PROXY                                          MISSING
  ❌ DrsTagSyncOptionsMethod                  MOCK                                               MISSING
  ❌ Ec2SubnetsGetMethod                      AWS_PROXY                                          MISSING
  ❌ Ec2SubnetsOptionsMethod                  MOCK                                               MISSING
  ❌ Ec2SecurityGroupsGetMethod               AWS_PROXY                                          MISSING
  ❌ Ec2SecurityGroupsOptionsMethod           MOCK                                               MISSING
  ❌ Ec2InstanceProfilesGetMethod             AWS_PROXY                                          MISSING
  ❌ Ec2InstanceProfilesOptionsMethod         MOCK                                               MISSING
  ❌ Ec2InstanceTypesGetMethod                AWS_PROXY                                          MISSING
  ❌ Ec2InstanceTypesOptionsMethod            MOCK                                               MISSING
  ❌ ConfigExportGetMethod                    AWS_PROXY                                          MISSING
  ❌ ConfigExportOptionsMethod                MOCK                                               MISSING
  ❌ ConfigImportPostMethod                   AWS_PROXY                                          MISSING
  ❌ ConfigImportOptionsMethod                MOCK                                               MISSING
  ❌ ConfigTagSyncGetMethod                   AWS_PROXY                                          MISSING
  ❌ ConfigTagSyncPutMethod                   AWS_PROXY                                          MISSING
  ❌ ConfigTagSyncOptionsMethod               MOCK                                               MISSING
  ❌ AccountsCurrentGetMethod                 AWS_PROXY                                          MISSING
  ❌ AccountsCurrentOptionsMethod             MOCK                                               MISSING
  ❌ AccountsTargetsGetMethod                 AWS_PROXY                                          MISSING
  ❌ AccountsTargetsPostMethod                AWS_PROXY                                          MISSING
  ❌ AccountsTargetsOptionsMethod             MOCK                                               MISSING
  ❌ AccountsTargetGetMethod                  AWS_PROXY                                          MISSING
  ❌ AccountsTargetPutMethod                  AWS_PROXY                                          MISSING
  ❌ AccountsTargetDeleteMethod               AWS_PROXY                                          MISSING
  ❌ AccountsTargetOptionsMethod              MOCK                                               MISSING
  ❌ AccountsTargetValidatePostMethod         AWS_PROXY                                          MISSING
  ❌ AccountsTargetValidateOptionsMethod      MOCK                                               MISSING
  ❌ DrsReplicationGetMethod                  AWS_PROXY                                          MISSING
  ❌ DrsReplicationOptionsMethod              MOCK                                               MISSING
  ❌ DrsServiceGetMethod                      AWS_PROXY                                          MISSING
  ❌ DrsServiceOptionsMethod                  MOCK                                               MISSING
  ❌ StagingAccountsValidatePostMethod        AWS_PROXY                                          MISSING
  ❌ StagingAccountsValidateOptionsMethod     MOCK                                               MISSING
  ❌ AccountsTargetStagingAccountsPostMethod  AWS_PROXY                                          MISSING
  ❌ AccountsTargetStagingAccountsOptionsMethod MOCK                                               MISSING
  ❌ AccountsTargetStagingAccountDeleteMethod AWS_PROXY                                          MISSING
  ❌ AccountsTargetStagingAccountOptionsMethod MOCK                                               MISSING
  ❌ AccountsTargetCapacityGetMethod          AWS_PROXY                                          MISSING
  ❌ AccountsTargetCapacityOptionsMethod      MOCK                                               MISSING
  ❌ AccountsCapacityAllGetMethod             AWS_PROXY                                          MISSING
  ❌ AccountsCapacityAllOptionsMethod         MOCK                                               MISSING
